UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 09:07 ?        00:00:04 /sbin/init splash
root           2       0  0 09:07 ?        00:00:00 [kthreadd]
root           3       2  0 09:07 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 09:07 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 09:07 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 09:07 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 09:07 ?        00:00:00 [kworker/R-netns]
root           9       2  0 09:07 ?        00:00:00 [kworker/0:0H-events_highpri]
root          12       2  0 09:07 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 09:07 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 09:07 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 09:07 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 09:07 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 09:07 ?        00:00:04 [rcu_preempt]
root          18       2  0 09:07 ?        00:00:00 [migration/0]
root          19       2  0 09:07 ?        00:00:00 [idle_inject/0]
root          20       2  0 09:07 ?        00:00:00 [cpuhp/0]
root          21       2  0 09:07 ?        00:00:00 [cpuhp/1]
root          22       2  0 09:07 ?        00:00:00 [idle_inject/1]
root          23       2  0 09:07 ?        00:00:00 [migration/1]
root          24       2  0 09:07 ?        00:00:00 [ksoftirqd/1]
root          26       2  0 09:07 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 09:07 ?        00:00:00 [cpuhp/2]
root          28       2  0 09:07 ?        00:00:00 [idle_inject/2]
root          29       2  0 09:07 ?        00:00:00 [migration/2]
root          30       2  0 09:07 ?        00:00:00 [ksoftirqd/2]
root          32       2  0 09:07 ?        00:00:00 [kworker/2:0H-events_highpri]
root          33       2  0 09:07 ?        00:00:00 [cpuhp/3]
root          34       2  0 09:07 ?        00:00:00 [idle_inject/3]
root          35       2  0 09:07 ?        00:00:00 [migration/3]
root          36       2  0 09:07 ?        00:00:32 [ksoftirqd/3]
root          38       2  0 09:07 ?        00:00:00 [kworker/3:0H-events_highpri]
root          39       2  0 09:07 ?        00:00:00 [cpuhp/4]
root          40       2  0 09:07 ?        00:00:00 [idle_inject/4]
root          41       2  0 09:07 ?        00:00:00 [migration/4]
root          42       2  0 09:07 ?        00:00:01 [ksoftirqd/4]
root          44       2  0 09:07 ?        00:00:00 [kworker/4:0H-events_highpri]
root          45       2  0 09:07 ?        00:00:00 [cpuhp/5]
root          46       2  0 09:07 ?        00:00:00 [idle_inject/5]
root          47       2  0 09:07 ?        00:00:00 [migration/5]
root          48       2  0 09:07 ?        00:00:00 [ksoftirqd/5]
root          50       2  0 09:07 ?        00:00:00 [kworker/5:0H-events_highpri]
root          51       2  0 09:07 ?        00:00:00 [cpuhp/6]
root          52       2  0 09:07 ?        00:00:00 [idle_inject/6]
root          53       2  0 09:07 ?        00:00:00 [migration/6]
root          54       2  0 09:07 ?        00:00:12 [ksoftirqd/6]
root          56       2  0 09:07 ?        00:00:00 [kworker/6:0H-events_highpri]
root          57       2  0 09:07 ?        00:00:00 [cpuhp/7]
root          58       2  0 09:07 ?        00:00:00 [idle_inject/7]
root          59       2  0 09:07 ?        00:00:00 [migration/7]
root          60       2  0 09:07 ?        00:00:00 [ksoftirqd/7]
root          62       2  0 09:07 ?        00:00:00 [kworker/7:0H-events_highpri]
root          63       2  0 09:07 ?        00:00:00 [kdevtmpfs]
root          64       2  0 09:07 ?        00:00:00 [kworker/R-inet_]
root          65       2  0 09:07 ?        00:00:00 [kauditd]
root          67       2  0 09:07 ?        00:00:00 [khungtaskd]
root          68       2  0 09:07 ?        00:00:00 [oom_reaper]
